name,sex,latest_year,latest_rank,latest_count,first_year,total_count,origin_backgrounds,languages,scripts,variants,meaning,age_style_category,historical_significance_score,semantic_summary
Kailani,F,2020,282,1118,1980,6617,,,,,,,,
Alayah,F,2020,283,1117,1992,8025,,,,,,,,
Amira,F,2020,284,1116,1963,16372,,,,,,,,
Adaline,F,2020,285,1106,1880,11795,,,,,,,,
Phoenix,F,2020,286,1103,1968,29977,,,,,,,,
Milani,F,2020,287,1093,1991,5914,,,,,,,,
Annie,F,2020,288,1092,1880,354622,,,,,,,,
Lia,F,2020,289,1091,1933,21641,,,,,,,,
Angelina,F,2020,290,1089,1880,121347,,,,,,,,
Harley,F,2020,291,1089,1880,66149,,,,,,,,
Cali,F,2020,292,1081,1959,19960,,,,,,,,
Maggie,F,2020,293,1079,1880,118052,,,,,,,,
Hayden,F,2020,294,1078,1880,131673,,,,,,,,
Leia,F,2020,295,1078,1949,12902,,,,,,,,
Fiona,F,2020,296,1076,1942,29767,,,,,,,,
Briella,F,2020,297,1072,1993,10650,,,,,,,,
Journey,F,2020,298,1068,1981,17435,,,,,,,,
Lennon,F,2020,299,1067,1913,12171,,,,,,,,
Saylor,F,2020,300,1063,1917,8244,,,,,,,,
Jayla,F,2020,301,1061,1968,42218,,,,,,,,
Kaia,F,2020,302,1060,1955,13371,,,,,,,,
Thea,F,2020,303,1060,1880,15261,,,,,,,,
Adriana,F,2020,304,1056,1888,91998,,,,,,,,
Mariah,F,2020,305,1054,1880,111042,,,,,,,,
Juliet,F,2020,306,1031,1880,32472,,,,,,,,
Oaklynn,F,2020,307,1028,2008,2800,,,,,,,,
Kiara,F,2020,308,1025,1968,51094,,,,,,,,
Alexis,F,2020,309,1019,1882,405626,,,,,,,,
Haven,F,2020,310,1018,1899,20310,,,,,,,,
Aniyah,F,2020,311,1015,1991,27230,,,,,,,,
Delaney,F,2020,312,1012,1912,40146,,,,,,,,
Gracelynn,F,2020,313,1011,1995,9098,,,,,,,,
Kendall,F,2020,314,1009,1906,95946,,,,,,,,
Winter,F,2020,315,997,1954,11848,,,,,,,,
Lilith,F,2020,316,995,1913,7503,,,,,,,,
Logan,F,2020,317,992,1880,380188,,,,,,,,
Amiyah,F,2020,318,989,1994,15269,,,,,,,,
Evie,F,2020,319,982,1880,16231,,,,,,,,
Alexandria,F,2020,320,975,1902,100977,,,,,,,,
Gracelyn,F,2020,321,958,1924,12276,,,,,,,,
Gabriela,F,2020,322,957,1903,81543,,,,,,,,
Sutton,F,2020,323,954,1912,9127,,,,,,,,
Harlow,F,2020,324,952,1882,10064,,,,,,,,
Madilyn,F,2020,325,943,1924,19354,,,,,,,,
